num,M1,M2,mu,WHnu,WHmuL,BHmuL,BHmuR,BmuLmuR,sum
104658,2446.43285,1316.50687,283.051053,2.86720854e-09,-6.3470029e-10,1.02407101e-10,-2.04259685e-10,3.56340362e-11,2.1662897e-09
104678,4295.39462,1586.26037,299.936965,2.16068117e-09,-4.67734855e-10,5.20564147e-11,-1.03887659e-10,9.67433364e-12,1.6507894e-09
104684,1717.18263,1489.93457,291.614815,2.31300228e-09,-4.89864829e-10,1.22614221e-10,-2.44660904e-10,6.67838122e-11,1.76787458e-09
104688,1001.8557,1742.60243,296.377523,2.12160338e-09,-4.9220725e-10,2.23584237e-10,-4.45844789e-10,2.05792493e-10,1.61292807e-09
104702,2498.73811,1732.28396,246.862512,2.27003739e-09,-4.73931833e-10,9.54383316e-11,-1.90336093e-10,2.87394602e-11,1.72994726e-09
104720,4167.56615,1113.77012,267.042697,3.50792455e-09,-7.49460141e-10,6.25198818e-11,-1.2468857e-10,1.02198724e-11,2.7065156e-09
104730,3047.49414,1291.37963,294.813997,2.85123586e-09,-6.38357238e-10,8.22799413e-11,-1.64136577e-10,2.27117664e-11,2.15373375e-09
104734,1815.09897,1047.14151,262.754198,3.59130811e-09,-7.29994828e-10,1.28824934e-10,-2.56946342e-10,5.9463571e-11,2.79265544e-09
104740,1439.01837,1184.72201,257.802938,3.27271589e-09,-6.80134132e-10,1.63151967e-10,-3.25345083e-10,9.38694729e-11,2.52425812e-09
104748,4651.84602,1107.62308,291.808631,3.16846249e-09,-6.63760832e-10,5.03549111e-11,-1.00478543e-10,8.05626387e-12,2.46263429e-09
104758,1368.32341,1091.8169,282.356445,3.42451653e-09,-7.3942185e-10,1.73433627e-10,-3.45880171e-10,1.14226178e-10,2.62687431e-09
104778,3262.21667,1151.25596,260.77128,3.46803946e-09,-7.42804217e-10,8.06768209e-11,-1.60878985e-10,1.78280069e-11,2.66286109e-09
104782,4293.08514,1380.01985,295.548319,2.40116079e-09,-4.9302777e-10,4.89590097e-11,-9.77207404e-11,9.21121171e-12,1.8685825e-09
